Sync. frequency [Hz],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
T_int [ms],60 * 1000.000,60 * 1000.000,60 * 1000.000,1 * 777.700,4 * 161.840,4 * 117.080,5 * 88.760,5 * 73.490,5 * 60.970,5 * 52.890,8 * 45.900,8 * 40.860,8 * 36.850,8 * 33.380,8 * 31.550,8 * 28.790,8 * 26.880,8 * 25.060,8 * 23.330,8 * 22.120,8 * 20.690,8 * 19.870,8 * 19.430
Averages,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
386,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,7.63902E-08,1.00763E-07,7.05695E-07,8.50607E-07,0.00000E+00,4.71438E-06,0.00000E+00,2.42707E-07,2.67938E-06,0.00000E+00,3.10655E-07,0.00000E+00,0.00000E+00,2.22295E-06,8.90930E-05,0.00000E+00,0.00000E+00,1.60149E-05
387,0.00000E+00,0.00000E+00,0.00000E+00,8.76096E-08,0.00000E+00,1.93981E-07,0.00000E+00,3.69979E-07,8.18453E-07,0.00000E+00,2.36948E-06,5.55833E-07,0.00000E+00,8.16465E-06,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.16544E-06,4.67094E-05,0.00000E+00,0.00000E+00,2.00850E-05
388,0.00000E+00,0.00000E+00,0.00000E+00,1.52268E-07,0.00000E+00,3.37145E-07,2.70770E-08,0.00000E+00,6.47415E-07,0.00000E+00,4.18885E-07,9.66053E-07,0.00000E+00,1.41904E-05,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.08651E-06,0.00000E+00,0.00000E+00,2.17998E-05
389,0.00000E+00,0.00000E+00,0.00000E+00,5.03808E-08,0.00000E+00,1.11551E-07,2.85333E-07,0.00000E+00,2.14210E-07,0.00000E+00,4.41415E-06,3.19637E-07,0.00000E+00,4.69516E-06,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.14494E-05,0.00000E+00,0.00000E+00,2.23632E-05
390,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,3.04015E-07,0.00000E+00,0.00000E+00,0.00000E+00,4.70316E-06,0.00000E+00,2.60230E-07,2.29826E-06,0.00000E+00,0.00000E+00,1.78376E-06,0.00000E+00,4.11037E-07,1.21991E-05,0.00000E+00,4.82611E-07,2.85106E-05
391,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,5.53168E-08,0.00000E+00,0.00000E+00,0.00000E+00,8.55759E-07,0.00000E+00,8.51480E-07,7.51996E-06,0.00000E+00,0.00000E+00,5.83650E-06,0.00000E+00,1.34492E-06,2.21967E-06,0.00000E+00,1.57912E-06,4.17894E-05
392,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.41944E-06,0.00000E+00,0.00000E+00,0.00000E+00,4.67863E-06,0.00000E+00,9.59336E-07,5.00833E-06,0.00000E+00,0.00000E+00,1.70232E-05,0.00000E+00,7.17981E-06,0.00000E+00,0.00000E+00,9.47778E-07,2.92131E-05
393,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,4.62241E-06,0.00000E+00,0.00000E+00,0.00000E+00,9.61064E-06,0.00000E+00,8.56456E-07,9.45488E-07,7.51998E-08,0.00000E+00,2.64485E-05,0.00000E+00,1.37005E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.14923E-05
394,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.44562E-06,0.00000E+00,0.00000E+00,0.00000E+00,8.54062E-06,0.00000E+00,2.67850E-07,2.95694E-07,6.42938E-07,0.00000E+00,1.33608E-05,0.00000E+00,1.68497E-05,0.00000E+00,0.00000E+00,0.00000E+00,4.59993E-06
395,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,6.39546E-08,1.68720E-07,1.01889E-07,0.00000E+00,0.00000E+00,8.02415E-06,0.00000E+00,0.00000E+00,8.97281E-07,4.89611E-06,2.60084E-07,1.23707E-05,2.98795E-07,1.90798E-05,0.00000E+00,0.00000E+00,0.00000E+00,8.33556E-06
396,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.85787E-07,4.90129E-07,2.95985E-07,0.00000E+00,0.00000E+00,7.96156E-06,0.00000E+00,0.00000E+00,2.60658E-06,1.25054E-05,7.55538E-07,2.18242E-05,8.67994E-07,2.05838E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.14256E-05
397,0.00000E+00,0.00000E+00,0.00000E+00,2.89257E-08,6.94993E-08,1.99586E-07,2.73092E-07,1.64918E-07,0.00000E+00,0.00000E+00,6.90131E-06,0.00000E+00,0.00000E+00,1.78931E-06,7.98415E-06,4.20973E-07,2.00919E-05,4.83632E-07,1.81038E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.05349E-05
398,0.00000E+00,0.00000E+00,0.00000E+00,5.27574E-08,1.26759E-07,1.75220E-07,0.00000E+00,2.57165E-08,0.00000E+00,3.57327E-08,5.56920E-06,4.62532E-08,0.00000E+00,6.14581E-07,3.02892E-06,8.53378E-07,1.56858E-05,9.04982E-07,1.40692E-05,0.00000E+00,0.00000E+00,0.00000E+00,1.67128E-05
