Lv [cd/sqm] (CIE1931 2°),1.318E-06,5.364E-04,4.363E-08,1.544E+00,6.347E+00,8.763E+00,1.140E+01,1.390E+01,1.642E+01,1.931E+01,2.182E+01,2.431E+01,2.711E+01,2.964E+01,3.224E+01,3.495E+01,3.761E+01,4.018E+01,4.294E+01,4.543E+01,4.788E+01,5.041E+01,5.100E+01
Le [W/(sr*sqm)] (380-780nm),1.733E-08,1.742E-06,4.211E-08,1.236E-02,5.328E-02,7.222E-02,9.288E-02,1.126E-01,1.325E-01,1.553E-01,1.749E-01,1.947E-01,2.168E-01,2.366E-01,2.573E-01,2.784E-01,2.993E-01,3.195E-01,3.410E-01,3.606E-01,3.802E-01,3.997E-01,4.026E-01
CCT [K] (CIE1964 10°),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DWl [nm] (CIE1964 10°),649.2,493.0,419.2,480.3,479.3,479.7,479.9,480.0,480.1,480.2,480.3,480.3,480.3,480.4,480.4,480.4,480.4,480.5,480.5,480.5,480.5,480.5,480.7
,,,,,,,,,,,,,,,,,,,,,,,
Chrom. Coord. (CIE1964 10°),,,,,,,,,,,,,,,,,,,,,,,
386,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,3.50522E-07,3.81592E-08,1.78768E-07,1.08633E-06,0.00000E+00,7.94995E-07,1.51808E-07,5.01051E-07,0.00000E+00,0.00000E+00,2.14736E-07,0.00000E+00,7.07524E-07,2.57523E-07,1.35450E-05,1.48939E-07,3.08459E-06,5.23732E-06
387,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.83770E-07,1.35659E-06,0.00000E+00,4.85763E-07,0.00000E+00,4.16797E-07,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,3.70938E-07,0.00000E+00,7.10134E-06,0.00000E+00,3.91642E-07,1.32966E-05
388,0.00000E+00,2.40336E-09,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.70644E-06,1.20096E-08,0.00000E+00,0.00000E+00,0.00000E+00,2.03968E-08,2.24403E-07,0.00000E+00,0.00000E+00,0.00000E+00,6.33379E-08,0.00000E+00,3.46006E-08,2.58465E-07,0.00000E+00,6.80685E-07,1.97433E-05
389,0.00000E+00,2.53262E-08,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,4.45403E-06,1.26555E-07,0.00000E+00,0.00000E+00,0.00000E+00,2.14938E-07,2.36472E-06,0.00000E+00,0.00000E+00,0.00000E+00,6.67444E-07,0.00000E+00,3.64615E-07,2.72366E-06,0.00000E+00,2.25218E-07,1.37164E-05
390,0.00000E+00,2.69844E-08,0.00000E+00,0.00000E+00,0.00000E+00,9.72203E-08,4.69182E-06,1.34841E-07,3.99752E-07,0.00000E+00,0.00000E+00,2.29011E-07,4.04169E-06,0.00000E+00,0.00000E+00,1.15120E-07,7.11145E-07,0.00000E+00,3.88488E-07,2.90199E-06,3.19383E-07,0.00000E+00,1.03803E-05
391,0.00000E+00,4.90992E-09,0.00000E+00,0.00000E+00,0.00000E+00,3.18107E-07,3.25583E-06,2.45349E-08,1.30800E-06,0.00000E+00,0.00000E+00,4.16695E-08,5.43893E-06,0.00000E+00,0.00000E+00,3.76675E-07,1.29396E-07,0.00000E+00,7.06870E-08,5.28029E-07,1.04503E-06,0.00000E+00,9.54564E-06
392,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.90926E-07,2.86577E-06,0.00000E+00,7.85055E-07,0.00000E+00,0.00000E+00,0.00000E+00,5.14863E-06,0.00000E+00,0.00000E+00,4.24388E-07,0.00000E+00,0.00000E+00,0.00000E+00,3.55306E-06,6.27222E-07,0.00000E+00,4.86624E-06
393,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.97347E-06,1.18557E-08,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,4.36922E-06,0.00000E+00,0.00000E+00,3.78876E-07,3.12631E-08,0.00000E+00,0.00000E+00,7.80884E-06,0.00000E+00,0.00000E+00,5.72192E-07
394,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,4.34853E-06,1.01363E-07,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,3.37363E-06,0.00000E+00,0.00000E+00,1.18491E-07,2.67291E-07,0.00000E+00,0.00000E+00,1.08489E-05,0.00000E+00,0.00000E+00,4.89209E-06
395,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,7.59130E-08,3.44465E-06,9.83991E-08,8.91831E-08,0.00000E+00,5.73910E-08,1.27095E-07,2.86145E-06,0.00000E+00,8.58398E-08,8.98897E-08,2.59476E-07,0.00000E+00,0.00000E+00,8.81593E-06,0.00000E+00,1.29122E-07,4.74906E-06
